id,mssv,xeploai,soquyetdinh,ngaycapvb, xeploai, soquyetdinh, ngaycapvb,namkhoahoc,label
76328.0,E95E7C6DXPvAibaEXe+1j/AqdkpM22DHf6P99fDJ, Khá, 178/QĐ_ĐHCNTT, 14/04/2017, Khá, 178/QĐ_ĐHCNTT, 14/04/2017,2013,0
76663.0,D0FE4969XPvAibaEXe/yXiKgsgy0slCmJ5EKt6Ki, Giỏi, 713/QĐ_ĐHCNTT, 06/10/2017, Giỏi, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76664.0,40F7E8D0XPvAibaEXe+nZBq3b0XEhfcwXLmoc4Pj, Giỏi, 713/QĐ_ĐHCNTT, 06/10/2017, Giỏi, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76665.0,0A049F45XPvAibaEXe9CtFSNMbfIz9qE7i0Fu4My, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76666.0,7A7166DAXPvAibaEXe83V/kFvw2bBZ0o/KVHZc30, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76667.0,A94C53D3XPvAibaEXe9CtFSNMbfIzwaQ8b7n0Srn, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76668.0,786BE3EBXPvAibaEXe/asAVnWDRS7UAj1YtnlMWY, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76669.0,6B2F14CCXPvAibaEXe+wmtNhlfgIwsa71h+ulLl3, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76670.0,62200A76XPvAibaEXe9/su+qLcYDMsQRQ0KM5NHU, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76671.0,C63071C5XPvAibaEXe9JDlHA4z2GHBvVa1gNFpuJ, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76672.0,5C5B33CCXPvAibaEXe9h45naFhFKYqqSE6oJtu2D, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76673.0,EF14B804XPvAibaEXe+sfU1lcH9y3xWTa18hz849, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76674.0,BE78DAE0XPvAibaEXe/zHDidEgqCToUSGJsnNs/s, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76675.0,4519669FXPvAibaEXe/uH+ehSKMSjbKx7ngVlc1q, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76676.0,ABAA6224XPvAibaEXe/Bn5cQSu92WeNVQEnSRa2a, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76677.0,932C10EAXPvAibaEXe/ji2wENvGp6DccIRS4GipU, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76678.0,58DEC626XPvAibaEXe99GOtI/HwJhc7sNQN4+/Pa, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76679.0,A7480F67XPvAibaEXe/lOccskaOiO75Myb5P3LDQ, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
76680.0,6F5D342AXPvAibaEXe9eSUilQ3V71r5onVJoXXZK, Khá, 713/QĐ_ĐHCNTT, 06/10/2017, Khá, 713/QĐ_ĐHCNTT, 06/10/2017,2013,0
